"id_vozaca","id_auta","model","proizvodac","velicina_motora_l","broj_brzina","vrsta_pogona","tezina_kg","duljina_mm","sirina_mm","razmak_izmedu_kotaca_mm","broj_pobjeda","ime_vozaca","prezime_vozaca"
101,1000,"C3 WRC","Citroen","1.60",6,"sva četiri",1190,4128,1875,2540,6,"Sebastien","Loeb"
100,1001,"C3 WRC","Citroen","1.60",6,"sva četiri",1190,4128,1875,2540,6,"Kris","Meeke"
102,1002,"Fiesta WRC","Ford","1.59",6,"sva četiri",1190,4130,1875,2493,9,"Sebastien","Ogier"
104,1003,"Fiesta WRC","Ford","1.59",6,"sva četiri",1190,4130,1875,2493,9,"Ott","Tanak"
105,1004,"Fiesta WRC","Ford","1.59",6,"sva četiri",1190,4130,1875,2493,9,"Elfyn","Evans"
102,1005,"i20 Coupe WRC","Hyundai","1.59",6,"sva četiri",1190,4100,1875,2570,17,"Sebastien","Ogier"
106,1006,"i20 Coupe WRC","Hyundai","1.59",6,"sva četiri",1190,4100,1875,2570,17,"Thierry","Neuville"
104,1007,"i20 Coupe WRC","Hyundai","1.59",6,"sva četiri",1190,4100,1875,2570,17,"Ott","Tanak"
107,1008,"i20 Coupe WRC","Hyundai","1.59",6,"sva četiri",1190,4100,1875,2570,17,"Dani","Sordo"
108,1009,"John Cooper Works WRC","Mini","1.60",6,"sva četiri",1200,4110,1820,2480,7,"Valeriy","Gorban"
107,1010,"John Cooper Works WRC","Mini","1.60",6,"sva četiri",1200,4110,1820,2480,7,"Dani","Sordo"
100,1011,"John Cooper Works WRC","Mini","1.60",6,"sva četiri",1200,4110,1820,2480,7,"Kris","Meeke"
109,1012,"Lancer Evolution WRC","Mitsubishi","2.00",5,"sva četiri",1230,4360,1800,2600,2,"Tommi","Makinen"
110,1013,"Lancer Evolution WRC","Mitsubishi","2.00",5,"sva četiri",1230,4360,1800,2600,2,"Alister","McRae"
111,1014,"307 WRC","Peugeot","1.99",5,"sva četiri",1230,4344,1770,2610,3,"Nicolas","Bernardi"
112,1015,"307 WRC","Peugeot","1.99",5,"sva četiri",1230,4344,1770,2610,3,"Daniel","Carlsson"
113,1016,"Cordoba WRC","Seat","1.99",6,"sva četiri",1230,4172,1770,2443,0,"Didier","Auriol"
114,1017,"Cordoba WRC","Seat","1.99",6,"sva četiri",1230,4172,1770,2443,0,"Gwyndaf","Evans"
113,1018,"Fabia WRC","Škoda","1.98",6,"sva četiri",1230,4002,1770,2462,0,"Didier","Auriol"
115,1019,"Fabia WRC","Škoda","1.98",6,"sva četiri",1230,4002,1770,2462,0,"Alexandre","Bengue"
116,1020,"Fabia WRC","Škoda","1.98",6,"sva četiri",1230,4002,1770,2462,0,"Kenneth","Eriksson"
117,1021,"Impreza WRC","Subaru","1.99",6,"sva četiri",1230,4340,1770,2635,46,"Toshiro","Arai"
118,1022,"Impreza WRC","Subaru","1.99",6,"sva četiri",1230,4340,1770,2635,46,"Chris","Atkinson"
116,1023,"Impreza WRC","Subaru","1.99",6,"sva četiri",1230,4340,1770,2635,46,"Kenneth","Eriksson"
109,1024,"Impreza WRC","Subaru","1.99",6,"sva četiri",1230,4340,1770,2635,46,"Tommi","Makinen"
119,1025,"SX4 WRC","Suzuki","1.99",5,"sva četiri",1230,4135,1770,2550,0,"Per-Gunnar","Andersson"
111,1026,"SX4 WRC","Suzuki","1.99",5,"sva četiri",1230,4135,1770,2550,0,"Nicolas","Bernardi"
104,1027,"Yaris WRC","Toyota","1.60",6,"sva četiri",1190,4085,1875,2511,25,"Ott","Tanak"
122,1028,"Yaris WRC","Toyota","1.60",6,"sva četiri",1190,4085,1875,2511,25,"Jari-Matti","Latvala"
105,1029,"Yaris WRC","Toyota","1.60",6,"sva četiri",1190,4085,1875,2511,25,"Elfyn","Evans"
102,1030,"Yaris WRC","Toyota","1.60",6,"sva četiri",1190,4085,1875,2511,25,"Sebastien","Ogier"
103,1031,"Polo R WRC","Volkswagen","1.60",6,"sva četiri",1200,3976,1820,2480,43,"Julien","Ingrassia"
102,1032,"Polo R WRC","Volkswagen","1.60",6,"sva četiri",1200,3976,1820,2480,43,"Sebastien","Ogier"
122,1033,"Polo R WRC","Volkswagen","1.60",6,"sva četiri",1200,3976,1820,2480,43,"Jari-Matti","Latvala"
123,1034,"Polo R WRC","Volkswagen","1.60",6,"sva četiri",1200,3976,1820,2480,43,"Andreas","Mikkelsen"